Mass of chassis: 1.25
Time X Y Z
0.470997 8.06733e-19 0.0828681 -5.46358e-10
0.471997 9.22412e-19 0.0836384 -5.456e-10
0.472997 8.73244e-19 0.0844204 -5.45255e-10
0.473997 8.4113e-19 0.0852128 -5.45136e-10
0.474997 1.21935e-18 0.0860145 -5.44995e-10
0.475997 1.46968e-18 0.0868243 -5.45007e-10
0.476997 9.6541e-19 0.087641 -5.44951e-10
0.477997 7.11962e-19 0.0884635 -5.44949e-10
0.478997 5.75042e-19 0.0892904 -5.45025e-10
0.479997 5.52875e-19 0.0901207 -5.45147e-10
0.480997 5.54023e-19 0.090953 -5.45259e-10
0.481997 6.91595e-19 0.0917863 -5.47031e-10
0.482997 8.0643e-19 0.0926192 -5.50144e-10
0.483997 7.39366e-19 0.0934505 -5.54244e-10
0.484997 7.40514e-19 0.0942792 -5.58965e-10
0.485997 4.68813e-19 0.0951039 -5.60507e-10
0.486997 1.74375e-19 0.0959236 -5.59461e-10
0.487997 -1.65538e-19 0.096737 -5.54192e-10
0.488997 -1.92812e-19 0.097543 -5.49054e-10
0.489997 -5.38409e-19 0.0983404 -5.40283e-10
0.490997 -8.38531e-19 0.0991281 -5.28423e-10
0.491997 -7.66354e-19 0.099906 -5.1828e-10
0.492997 -6.90802e-19 0.100674 -5.09615e-10
0.493997 -5.90153e-19 0.101432 -5.02213e-10
0.494997 -5.41508e-19 0.102181 -4.95889e-10
0.495997 -4.64367e-19 0.10292 -4.90487e-10
0.496997 -4.31485e-19 0.103648 -4.85872e-10
0.497997 -3.81733e-19 0.104367 -4.8193e-10
0.498997 -3.40705e-19 0.105077 -4.78562e-10
0.499997 -3.04424e-19 0.105776 -4.75685e-10
0.500997 -2.58479e-19 0.106466 -4.73227e-10
0.501997 -2.3768e-19 0.107146 -4.71127e-10
0.502997 -2.0869e-19 0.107816 -4.69333e-10
0.503997 -1.85322e-19 0.108476 -4.67801e-10
0.504997 -1.69442e-19 0.109126 -4.66492e-10
